target,selection_view,family,family_label,model,n_features,feature,signed_coef,abs_coef,coef_rank_abs
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_11,0.012855456974582305,0.012855456974582305,55
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,num_phrases,0.01285383360657311,0.01285383360657311,56
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,participant_utterance_count,0.01285383360657311,0.01285383360657311,57
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,second_order_sentence_tangeniality_var,-0.012608296805699524,0.012608296805699524,58
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_vader_overall,-0.011692808856960833,0.011692808856960833,59
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,prop_verb_past,-0.011313326252666353,0.011313326252666353,60
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_order_sentence_tangeniality_mean,0.011141138759572934,0.011141138759572934,61
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mean_turn_length_minutes,-0.010256563058302368,0.010256563058302368,62
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,second_order_sentence_tangeniality_mean,0.010166821553608148,0.010166821553608148,63
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_19,-0.009781798463269622,0.009781798463269622,64
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mean_phrases_per_turn,-0.008988327655592866,0.008988327655592866,65
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_turn_tangeniality_var,-0.00874623243182692,0.00874623243182692,66
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_entropy,-0.00828393837087783,0.00828393837087783,67
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,speech_length_minutes,0.007718410605622445,0.007718410605622445,68
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,num_one_word_turns,-0.006552657014710007,0.006552657014710007,69
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mattr_5,0.006320906192758458,0.006320906192758458,70
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,num_one_word_phrases,-0.005364174717296222,0.005364174717296222,71
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_05,-0.004987226760313328,0.004987226760313328,72
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,prop_function_words,-0.004946153314952487,0.004946153314952487,73
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mattr_100,-0.004585920500451771,0.004585920500451771,74
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,speech_percentage,-0.004383822139467042,0.004383822139467042,75
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_01,0.004214142425895381,0.004214142425895381,76
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mattr_10,0.003879552727307427,0.003879552727307427,77
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,word_coherence_mean,0.0030869923044850567,0.0030869923044850567,78
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mattr_50,-0.0024212006516631038,0.0024212006516631038,79
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_17,-0.0020632489869955198,0.0020632489869955198,80
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mattr_25,-0.0009368369352281032,0.0009368369352281032,81
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_15,0.0005800158296098705,0.0005800158296098705,82
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_overall,-0.23331182503732456,0.23331182503732456,1
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_08,0.10196243350523318,0.10196243350523318,2
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_13,0.09525124471284098,0.09525124471284098,3
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_pos_tail_mass,-0.08879768398049438,0.08879768398049438,4
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_10,0.07837730301119769,0.07837730301119769,5
Depression_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,first_person_sentiment_positive,-0.07605678425015695,0.07605678425015695,6
