target,mode,probe_name,baseline_family,baseline_feature_count,remaining_feature_count,removed_feature_count,best_model,best_C,best_class_weight_name,threshold,mean_oof_pr,mean_oof_f1,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_roc,EN_delta_pr,EN_delta_f1,UA_delta_pr,UA_delta_f1
Depression,only_family,first_person,B0_rho05_vaderfull,82,7,75,logreg_l2_liblinear_C0.05_bal,0.05,bal,0.494835536997171,0.34369934064985,0.6314256216029874,0.7094722176279362,0.7207518220176448,0.6060606060606061,0.7360482654600301,0.6981128652484152,0.7315904139433551,0.5925925925925927,0.7285067873303167,-0.0195302556132913,-0.0680867903503794,-0.0154610040827081,-0.0059095860566449
Depression,drop_family,first_person,B0_rho05_vaderfull,82,75,7,logreg_l2_liblinear_C0.005_cwpos1.8,0.005,cwpos1.8,0.3737281360288535,0.3833410481522266,0.6335316357298042,0.6704737029340927,0.7134502923976609,0.6111111111111113,0.7496229260935143,0.6134694683491079,0.7043740573152337,0.5882352941176471,0.7254901960784315,-0.0585287703071348,-0.0753883199703633,-0.1001044009820154,-0.0331259426847663
Depression,only_family,tangentiality,B0_rho05_vaderfull,82,7,75,logreg_l2_liblinear_C0.02_bal,0.02,bal,0.5020700145041426,0.2607281148714123,0.5322901000016405,0.5411736391503184,0.5130434782608696,0.2,0.6651583710407241,0.610689807405781,0.6357723577235772,0.4666666666666667,0.7104072398190044,-0.1878288340909092,-0.2757951341071546,-0.1028840619253422,-0.1017276422764228
Depression,drop_family,tangentiality,B0_rho05_vaderfull,82,75,7,logreg_l2_liblinear_C0.005_cwpos1.8,0.005,cwpos1.8,0.3724172563415456,0.3775742702950038,0.6356292231565333,0.6680898026129469,0.6972972972972973,0.5945945945945946,0.7571644042232277,0.6114340950679098,0.7134502923976609,0.6111111111111113,0.7285067873303167,-0.0609126706282806,-0.0915413150707269,-0.1021397742632135,-0.0240497076023391
Depression,only_family,dialogue_similarity,B0_rho05_vaderfull,82,3,79,logreg_l2_liblinear_C0.01_bal,0.01,bal,0.500292877806617,0.235095544575409,0.5211724184723716,0.4095622711422703,0.5358558558558558,0.3783783783783783,0.5927601809954751,0.3837150367906605,0.5190656131913431,0.3902439024390243,0.5339366515837104,-0.3194402020989573,-0.2529827565121684,-0.3298588325404628,-0.2184343868086569
Depression,drop_family,dialogue_similarity,B0_rho05_vaderfull,82,79,3,logreg_l2_liblinear_C0.005_cwpos1.8,0.005,cwpos1.8,0.3734349418243902,0.3819013351680211,0.6297288213987688,0.6931991855921924,0.7134502923976609,0.6111111111111113,0.7616892911010558,0.6255037266308306,0.7375,0.625,0.7345399698340874,-0.0358032876490351,-0.0753883199703633,-0.0880701427002926,0.0
Depression,only_family,semantic_coherence,B0_rho05_vaderfull,82,3,79,logreg_l2_liblinear_C0.05_bal,0.05,bal,0.5022820898355519,0.2353936850102236,0.522692633475761,0.3915678739287585,0.546485260770975,0.4897959183673468,0.5610859728506787,0.2565359841449725,0.424212271973466,0.3111111111111111,0.3891402714932126,-0.337434599312469,-0.2423533515970491,-0.4570378851861508,-0.313287728026534
Depression,drop_family,semantic_coherence,B0_rho05_vaderfull,82,79,3,logreg_l2_liblinear_C0.005_cwpos2.0,0.005,cwpos2.0,0.3951745472253252,0.3815295500205782,0.6294748334451301,0.692830096780197,0.72987012987013,0.6285714285714287,0.7601809954751131,0.6332332061232318,0.7207518220176448,0.6060606060606061,0.7405731523378581,-0.0361723764610305,-0.0589684824978942,-0.0803406632078915,-0.0167481779823552
Depression,only_family,vader_hist,B0_rho05_vaderfull,82,27,55,logreg_l2_liblinear_C0.02_bal,0.02,bal,0.5023336643099706,0.3603433869636092,0.6338229338575534,0.6715733796823009,0.6150572831423895,0.5531914893617021,0.7330316742081447,0.7337316622329138,0.5351213282247766,0.5185185185185186,0.784313725490196,-0.0574290935589266,-0.1737813292256347,0.0201577929017904,-0.2023786717752234
Depression,drop_family,vader_hist,B0_rho05_vaderfull,82,55,27,logreg_l2_liblinear_C0.05_cwpos1.8,0.05,cwpos1.8,0.373475313379213,0.3556910325558765,0.6310195652062308,0.7000911293071463,0.7134502923976609,0.6111111111111113,0.7692307692307693,0.6243650837909286,0.6937500000000001,0.5625,0.7239819004524888,-0.0289113439340812,-0.0753883199703633,-0.0892087855401947,-0.0437499999999999
